<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170421,000000,2859.5000000,2870.0000000,2826.0000000,2850.0000000,418134
20170424,000000,2875.0000000,2924.5000000,2865.0000000,2919.0000000,725991
20170425,000000,2928.0000000,2957.5000000,2887.0000000,2957.0000000,590758
20170426,000000,2962.0000000,2984.5000000,2922.0000000,2970.0000000,525179
20170427,000000,2960.0000000,2964.5000000,2878.0000000,2885.0000000,691183
20170428,000000,2895.0000000,2902.5000000,2814.0000000,2818.0000000,1037834
20170502,000000,2832.5000000,2900.0000000,2820.5000000,2864.0000000,877820
20170503,000000,2858.5000000,2868.0000000,2753.5000000,2770.0000000,1348441
20170504,000000,2777.0000000,2818.0000000,2768.5000000,2780.0000000,771015
20170505,000000,2770.0000000,2816.0000000,2764.0000000,2811.5000000,607340
20170510,000000,2851.0000000,2917.0000000,2846.5000000,2917.0000000,856274
20170511,000000,2908.0000000,2911.0000000,2824.0000000,2840.0000000,693200
20170512,000000,2844.5000000,2856.0000000,2796.5000000,2856.0000000,558294
20170515,000000,2866.0000000,2890.0000000,2850.0000000,2876.0000000,470105
20170516,000000,2868.5000000,2907.5000000,2860.5000000,2890.5000000,682190
20170517,000000,2880.0000000,2900.0000000,2841.0000000,2870.0000000,544071
20170518,000000,2856.0000000,2877.0000000,2822.5000000,2877.0000000,816637
20170519,000000,2880.0000000,2891.0000000,2845.0000000,2850.0000000,637143
20170522,000000,2850.0000000,2850.0000000,2800.0000000,2811.0000000,593354
20170523,000000,2810.0000000,2830.0000000,2800.0000000,2825.0000000,497535
20170524,000000,2820.5000000,2830.0000000,2772.0000000,2804.0000000,579403
20170525,000000,2810.0000000,2847.0000000,2781.0000000,2798.0000000,622817
20170526,000000,2798.0000000,2800.0000000,2757.0000000,2796.5000000,621449
20170529,000000,2780.0000000,2810.0000000,2777.5000000,2794.5000000,280489
20170530,000000,2791.0000000,2840.0000000,2763.0000000,2825.0000000,685425
20170531,000000,2819.5000000,2831.0000000,2715.0000000,2753.0000000,1040565
20170601,000000,2755.0000000,2760.0000000,2680.0000000,2700.0000000,1105111
20170602,000000,2700.0000000,2745.0000000,2674.0000000,2734.0000000,918339
20170605,000000,2738.0000000,2755.0000000,2713.0000000,2734.5000000,320563
20170606,000000,2737.0000000,2743.0000000,2690.5000000,2721.5000000,621736
20170607,000000,2725.5000000,2753.0000000,2700.0000000,2705.0000000,530429
20170608,000000,2712.0000000,2740.5000000,2695.0000000,2735.0000000,572610
20170609,000000,2732.0000000,2774.0000000,2717.0000000,2774.0000000,598525
20170613,000000,2761.5000000,2784.0000000,2739.0000000,2760.5000000,598136
20170614,000000,2762.0000000,2773.0000000,2713.0000000,2730.0000000,771968
20170615,000000,2703.5000000,2721.0000000,2601.0000000,2712.0000000,2615287
20170616,000000,2711.5000000,2728.0000000,2685.0000000,2685.0000000,948253
20170619,000000,2700.0000000,2782.0000000,2699.5000000,2779.5000000,814378
20170620,000000,2775.0000000,2804.0000000,2748.0000000,2769.0000000,613635
20170621,000000,2761.0000000,2761.0000000,2705.0000000,2728.5000000,1077554
20170622,000000,2713.0000000,2760.5000000,2701.0000000,2760.5000000,834415
20170623,000000,2749.5000000,2800.0000000,2727.5000000,2775.0000000,628347
20170626,000000,2786.0000000,2812.0000000,2756.5000000,2767.0000000,524910
20170627,000000,2761.0000000,2815.0000000,2740.5000000,2800.0000000,561612
20170628,000000,2775.5000000,2875.0000000,2770.5000000,2874.5000000,661734
