<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160427,000000,9.1712000,9.1901900,9.1467000,9.1600500,713031
20160428,000000,9.1600500,9.1774000,9.1208000,9.1569700,718352
20160429,000000,9.1574600,9.2086400,9.1362000,9.1972400,770915
20160430,000000,9.1947000,9.2007000,9.1947000,9.1972000,3
20160501,000000,9.1965000,9.1965000,9.1800000,9.1800000,11
20160502,000000,9.1915000,9.2077000,9.1663000,9.1764700,597744
20160503,000000,9.1776000,9.2690300,9.1562200,9.2647000,593094
20160504,000000,9.2616000,9.2798700,9.2380000,9.2654000,547641
20160505,000000,9.2657000,9.2772300,9.2360000,9.2459500,559777
20160506,000000,9.2459500,9.3010400,9.2320000,9.2856000,696172
20160507,000000,9.2858000,9.2897000,9.2700000,9.2897000,4
20160508,000000,9.2832000,9.2834000,9.2756300,9.2834000,50
20160509,000000,9.2763000,9.3067000,9.2595000,9.2919000,592780
20160510,000000,9.2920000,9.3009500,9.2590000,9.2749700,639116
20160511,000000,9.2742700,9.3132300,9.2650000,9.2971000,581092
20160512,000000,9.2972000,9.3272700,9.2810000,9.3059600,630339
20160513,000000,9.3085600,9.3413900,9.3043000,9.3247000,587491
20160514,000000,9.3247000,9.3285000,9.3199300,9.3199900,15
20160515,000000,9.3332000,9.3332000,9.3100000,9.3165000,39
20160516,000000,9.3259000,9.3559000,9.3090000,9.3504700,501891
20160517,000000,9.3507000,9.3547200,9.3232000,9.3387800,510491
20160518,000000,9.3393000,9.3725600,9.3220000,9.3653500,590200
20160519,000000,9.3650000,9.3785000,9.3430000,9.3582000,613223
20160520,000000,9.3578100,9.3657400,9.3253000,9.3312000,518433
20160521,000000,9.3323000,9.3323000,9.3279000,9.3292900,7
20160522,000000,9.3315000,9.3323000,9.3245000,9.3250000,18
20160523,000000,9.3316000,9.3692300,9.3225000,9.3538600,547611
20160524,000000,9.3530000,9.3757000,9.2565000,9.2589700,656543
20160525,000000,9.2620000,9.2763200,9.2337000,9.2490000,576736
20160526,000000,9.2453000,9.2954700,9.2391000,9.2667600,613850
