<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190319,000000,1702.4100000,1706.3600000,1696.5000000,1696.5000000,766232543
20190320,000000,1697.4900000,1699.5900000,1693.9600000,1696.7800000,630965234
20190321,000000,1701.1400000,1706.6000000,1696.0200000,1700.4900000,985140688
20190322,000000,1705.3100000,1705.3500000,1686.7600000,1692.9300000,839848277
20190325,000000,1688.6000000,1695.0500000,1688.6000000,1691.3700000,488609759
20190326,000000,1691.0900000,1700.6600000,1690.2800000,1698.7900000,643213162
20190327,000000,1700.1300000,1701.7500000,1687.5400000,1688.1800000,596833601
20190328,000000,1690.7300000,1691.9200000,1683.8700000,1686.3100000,683740237
20190329,000000,1687.6200000,1697.0500000,1682.8300000,1686.6900000,733899113
20190401,000000,1691.2500000,1698.3200000,1689.7200000,1698.3200000,834799370
20190402,000000,1699.3000000,1701.7000000,1693.6600000,1697.4700000,668864409
20190403,000000,1700.0800000,1702.6000000,1695.4200000,1702.5000000,801443749
20190404,000000,1701.5800000,1705.8400000,1698.4300000,1700.5600000,1032068137
20190405,000000,1701.9200000,1707.4800000,1701.3000000,1703.9400000,900325542
20190408,000000,1707.9300000,1713.8700000,1705.5300000,1710.5000000,1068617074
20190409,000000,1709.5200000,1723.5600000,1709.4500000,1723.5600000,964303965
20190410,000000,1722.7200000,1740.4100000,1722.7200000,1740.4100000,1909761129
20190411,000000,1738.1900000,1740.7000000,1729.5400000,1731.8400000,1015744601
20190412,000000,1737.8800000,1737.8800000,1728.4100000,1734.7100000,874110447
20190415,000000,1734.1900000,1742.6000000,1731.7500000,1737.0300000,1182526874
20190416,000000,1739.6900000,1749.9500000,1738.2600000,1748.5500000,1314878083
20190417,000000,1751.6100000,1756.6900000,1749.9800000,1752.4500000,852619898
20190418,000000,1753.8400000,1754.6700000,1746.4500000,1748.9600000,639883286
20190419,000000,1751.6900000,1754.2700000,1748.0100000,1751.8300000,529747971
20190422,000000,1753.3800000,1762.2500000,1752.1400000,1761.5200000,1041205214
20190423,000000,1763.0800000,1770.2000000,1759.5000000,1769.3100000,1524777764
20190424,000000,1768.7300000,1776.6800000,1765.2800000,1769.0500000,1158640295
20190425,000000,1770.0100000,1771.0200000,1755.6800000,1760.6500000,1046740326
20190426,000000,1759.4000000,1760.3600000,1749.7400000,1758.0800000,839274455
20190429,000000,1760.7700000,1763.2600000,1753.0700000,1762.3200000,636994309
20190430,000000,1760.1700000,1770.6500000,1758.2600000,1760.5000000,1089528159
20190502,000000,1762.4800000,1766.9900000,1757.0900000,1763.6300000,427014720
20190503,000000,1768.7000000,1772.1400000,1766.1300000,1766.1300000,492645780
20190506,000000,1762.3100000,1764.0500000,1757.2400000,1764.0500000,700280717
20190507,000000,1765.9900000,1777.5400000,1763.0000000,1775.8800000,921046035
20190508,000000,1774.4100000,1775.5800000,1765.2200000,1772.5100000,1104792556
20190510,000000,1771.2900000,1773.1500000,1756.0400000,1756.0400000,674616316
20190513,000000,1755.4500000,1767.6100000,1754.5600000,1758.2000000,942469082
20190514,000000,1760.0400000,1771.4300000,1758.5500000,1771.4300000,1408583357
